               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09349,             0.02418,            0.040031,           0.0043387,             0.95418,             0.06608,            0.026141,            0.050141,            0.010672,            0.028109,            0.070682,           0.0032576,           0.0032576
                   1,            0.066878,            0.019979,            0.037918,            0.091903,             0.10478,             0.08682,            0.036321,            0.055054,           0.0067728,            0.027788,            0.040622,           0.0065316,           0.0065316
                   2,            0.065068,            0.017858,            0.037186,             0.10724,              0.2957,             0.12079,            0.053973,            0.047189,           0.0065167,            0.028368,            0.010503,           0.0097456,           0.0097456
                   3,            0.052464,            0.018041,            0.036449,            0.081394,             0.39599,            0.079273,             0.03632,            0.043273,            0.007493,            0.027036,             0.00973,             0.00973,             0.00973
                   4,            0.052145,            0.017047,            0.036532,            0.081089,             0.57779,            0.098813,            0.051372,            0.041541,           0.0056985,            0.027775,             0.00973,             0.00973,             0.00973
                   5,            0.045698,            0.016311,            0.035971,             0.10405,             0.22984,             0.11605,            0.058368,            0.033339,           0.0050968,            0.027443,             0.00964,             0.00964,             0.00964
                   6,            0.043865,            0.015492,             0.03601,             0.10022,             0.33303,             0.12029,             0.06288,            0.033929,           0.0054488,            0.027323,             0.00955,             0.00955,             0.00955
                   7,               0.043,            0.015716,            0.035813,            0.080368,             0.23957,             0.10646,            0.050837,             0.03695,           0.0066331,            0.026749,             0.00946,             0.00946,             0.00946
                   8,            0.040961,            0.015317,            0.035524,             0.11615,             0.30261,             0.15844,            0.093719,            0.029848,           0.0047827,            0.026746,             0.00937,             0.00937,             0.00937
                   9,            0.038769,            0.014823,            0.035296,             0.14252,             0.29009,             0.18975,             0.10601,            0.029242,           0.0048724,             0.02646,             0.00928,             0.00928,             0.00928
                  10,            0.038991,            0.014513,            0.034659,             0.13039,             0.46748,             0.18687,             0.10091,            0.028979,           0.0045941,            0.025806,             0.00919,             0.00919,             0.00919
                  11,            0.040174,            0.014722,            0.034312,             0.14086,              0.4265,              0.1868,                0.11,            0.028477,            0.004496,            0.024774,              0.0091,              0.0091,              0.0091
                  12,            0.038474,            0.014752,            0.034313,             0.12952,             0.50115,             0.20518,              0.1218,            0.030128,           0.0046493,            0.024563,             0.00901,             0.00901,             0.00901
                  13,            0.038842,            0.014168,            0.033639,             0.12966,             0.24029,             0.14511,            0.077562,            0.032357,           0.0050556,            0.024122,             0.00892,             0.00892,             0.00892
                  14,            0.037627,            0.013688,            0.033986,             0.14725,              0.2606,             0.18396,             0.08984,            0.037926,           0.0050757,            0.023573,             0.00883,             0.00883,             0.00883
                  15,            0.036609,            0.013987,            0.033305,             0.15911,             0.32923,              0.2193,             0.12957,            0.029318,           0.0049243,            0.023145,             0.00874,             0.00874,             0.00874
                  16,            0.036776,            0.014047,            0.033076,             0.13566,             0.36337,             0.21569,             0.11516,            0.029044,           0.0045598,            0.022884,             0.00865,             0.00865,             0.00865
                  17,            0.036963,             0.01349,            0.033706,             0.15419,             0.50603,             0.23079,             0.13644,            0.029528,            0.004513,            0.022476,             0.00856,             0.00856,             0.00856
                  18,            0.036578,             0.01337,            0.033126,             0.16943,             0.40342,             0.21898,             0.12583,            0.029056,           0.0049284,            0.022272,             0.00847,             0.00847,             0.00847
                  19,            0.036758,            0.014168,            0.032293,             0.15438,             0.48323,             0.22279,             0.12699,            0.030188,           0.0048042,            0.022842,             0.00838,             0.00838,             0.00838
                  20,             0.03704,            0.014124,             0.03203,             0.14433,             0.41506,             0.23619,              0.1453,            0.026532,           0.0045067,            0.022749,             0.00829,             0.00829,             0.00829
                  21,            0.035963,              0.0133,            0.031399,             0.18492,             0.46524,             0.27044,              0.1628,            0.029905,           0.0043634,            0.021393,              0.0082,              0.0082,              0.0082
                  22,            0.035206,            0.014084,            0.031802,             0.20356,             0.56417,             0.27642,             0.17211,            0.026783,           0.0043486,            0.021534,             0.00811,             0.00811,             0.00811
                  23,             0.03355,            0.013639,            0.030999,             0.25491,             0.44483,             0.30016,             0.19452,            0.025983,           0.0043909,             0.02134,             0.00802,             0.00802,             0.00802
                  24,            0.032837,            0.013442,            0.031331,             0.22337,             0.63049,             0.34717,             0.22981,            0.027802,           0.0044656,             0.02118,             0.00793,             0.00793,             0.00793
                  25,            0.033979,            0.012327,             0.03083,             0.21478,             0.55465,             0.29612,             0.18513,             0.02888,           0.0044697,            0.021496,             0.00784,             0.00784,             0.00784
                  26,            0.032972,            0.013275,            0.030155,              0.2204,             0.57816,             0.28101,             0.17809,            0.026994,           0.0043901,            0.023143,             0.00775,             0.00775,             0.00775
                  27,            0.033305,            0.013002,             0.03057,             0.23667,              0.5587,             0.30213,             0.18944,            0.027184,           0.0044533,            0.022601,             0.00766,             0.00766,             0.00766
                  28,            0.033543,            0.013393,            0.030305,             0.38654,             0.52577,              0.3278,             0.21073,            0.026847,           0.0042951,            0.020677,             0.00757,             0.00757,             0.00757
                  29,            0.033073,            0.013147,            0.030102,             0.28428,              0.4379,             0.32955,             0.20942,            0.028156,           0.0042441,            0.020682,             0.00748,             0.00748,             0.00748
                  30,            0.032164,            0.012722,            0.029838,             0.29829,             0.54785,             0.35148,             0.23016,            0.026351,           0.0041231,            0.021307,             0.00739,             0.00739,             0.00739
                  31,            0.033832,            0.013439,            0.029186,             0.27417,             0.56589,             0.34407,             0.21376,            0.026284,           0.0043072,            0.020057,              0.0073,              0.0073,              0.0073
                  32,            0.032768,            0.013077,            0.029334,              0.3028,             0.54411,             0.34869,             0.23058,            0.027295,           0.0042238,            0.019844,             0.00721,             0.00721,             0.00721
                  33,            0.032299,            0.013317,            0.029062,             0.31319,             0.56754,             0.37662,             0.24917,            0.026238,           0.0041604,             0.02032,             0.00712,             0.00712,             0.00712
                  34,            0.032248,            0.012896,            0.029293,             0.32649,             0.58042,             0.36684,             0.24726,            0.026342,           0.0041336,            0.020334,             0.00703,             0.00703,             0.00703
                  35,            0.032336,            0.012352,            0.028672,             0.30917,             0.55703,             0.36555,             0.24228,            0.026207,           0.0041176,            0.019949,             0.00694,             0.00694,             0.00694
                  36,            0.032362,             0.01308,             0.02864,             0.33336,             0.61051,             0.37751,             0.24837,            0.024673,           0.0040147,            0.020236,             0.00685,             0.00685,             0.00685
                  37,            0.032489,            0.013465,            0.028385,             0.43057,             0.60458,              0.3984,              0.2747,            0.024039,           0.0040476,            0.020467,             0.00676,             0.00676,             0.00676
                  38,            0.032499,             0.01265,            0.027467,             0.34913,             0.62546,             0.40244,             0.25688,            0.026769,           0.0041519,              0.0197,             0.00667,             0.00667,             0.00667
                  39,            0.029484,             0.01192,            0.027218,             0.32689,             0.63624,             0.38676,             0.25126,            0.025102,            0.004179,            0.019608,             0.00658,             0.00658,             0.00658
                  40,            0.034124,            0.012593,            0.027097,             0.33525,             0.62761,             0.38655,             0.24892,            0.026535,           0.0042611,            0.019642,             0.00649,             0.00649,             0.00649
                  41,            0.032218,            0.012773,            0.027846,             0.31457,             0.58492,             0.39726,             0.24549,            0.025716,           0.0042258,            0.019394,              0.0064,              0.0064,              0.0064
                  42,             0.02931,            0.012016,            0.025752,             0.32917,             0.65659,             0.41597,             0.28673,            0.024985,           0.0040964,            0.020191,             0.00631,             0.00631,             0.00631
                  43,            0.031549,            0.012041,            0.027051,             0.33356,             0.67383,             0.48934,             0.34482,            0.024942,           0.0040267,            0.019147,             0.00622,             0.00622,             0.00622
                  44,            0.032434,            0.013149,            0.027373,             0.33316,             0.64768,             0.42281,             0.28429,            0.024464,           0.0040133,            0.018873,             0.00613,             0.00613,             0.00613
                  45,            0.030243,             0.01207,            0.027261,             0.31689,             0.67969,             0.48674,             0.35032,            0.024043,           0.0038466,            0.019733,             0.00604,             0.00604,             0.00604
                  46,            0.029358,            0.011963,            0.026346,             0.29952,             0.64007,             0.48707,             0.35316,            0.024431,           0.0039221,              0.0199,             0.00595,             0.00595,             0.00595
                  47,             0.02955,            0.012034,            0.026115,             0.30647,             0.69539,             0.49766,             0.35668,            0.024832,           0.0039697,              0.0188,             0.00586,             0.00586,             0.00586
                  48,            0.029659,            0.011246,            0.025947,             0.31385,             0.71344,             0.49896,             0.35877,            0.025803,           0.0038674,            0.017718,             0.00577,             0.00577,             0.00577
                  49,            0.030188,            0.011783,            0.025716,             0.34389,             0.72941,             0.42733,              0.2949,            0.025053,            0.003912,            0.018764,             0.00568,             0.00568,             0.00568
                  50,            0.029352,            0.011689,            0.026079,             0.35299,             0.70483,             0.50286,             0.37258,            0.023689,           0.0038533,            0.019784,             0.00559,             0.00559,             0.00559
                  51,             0.02914,            0.012173,            0.024513,             0.30898,             0.64315,             0.49933,             0.36495,            0.024756,             0.00395,              0.0197,              0.0055,              0.0055,              0.0055
                  52,            0.028758,             0.01192,            0.025645,             0.32867,             0.72326,             0.49837,             0.35633,            0.026358,           0.0039548,            0.019342,             0.00541,             0.00541,             0.00541
                  53,            0.029274,            0.011197,            0.025699,             0.33679,             0.72304,             0.51407,             0.37899,            0.023956,           0.0038164,            0.019251,             0.00532,             0.00532,             0.00532
                  54,            0.028133,            0.011293,            0.024609,             0.33638,              0.7232,             0.45542,             0.32299,            0.023303,           0.0039775,            0.019318,             0.00523,             0.00523,             0.00523
                  55,            0.030483,            0.011777,            0.025704,             0.33435,             0.69547,              0.5137,              0.3703,            0.023784,           0.0040477,            0.020499,             0.00514,             0.00514,             0.00514
                  56,            0.027947,            0.011359,            0.025098,              0.3541,             0.68355,             0.44172,             0.30723,            0.023508,               0.004,            0.020557,             0.00505,             0.00505,             0.00505
                  57,            0.028579,            0.011454,            0.024755,             0.35007,              0.7379,             0.44365,             0.30674,            0.023417,            0.003999,            0.019572,             0.00496,             0.00496,             0.00496
                  58,            0.029017,            0.011487,            0.024815,             0.35111,             0.78186,             0.52869,             0.38359,            0.023258,           0.0038849,            0.019153,             0.00487,             0.00487,             0.00487
                  59,            0.028304,            0.011298,            0.025679,             0.34017,             0.71531,             0.52509,             0.38105,             0.02348,           0.0040143,            0.018979,             0.00478,             0.00478,             0.00478
                  60,            0.028664,            0.011171,             0.02437,             0.41078,             0.62117,             0.53843,              0.3867,            0.022953,           0.0038589,            0.018408,             0.00469,             0.00469,             0.00469
                  61,            0.029053,            0.011776,            0.024169,              0.3503,             0.72576,             0.55614,             0.41019,            0.022846,           0.0038441,            0.019178,              0.0046,              0.0046,              0.0046
